,Gap,Algorithm,Failed(Out Of 100),Mean Expansions,Mean Necessary Expansions,Mean Iterations,Mean Runtime(Seconds)
0,3.0,A*,0.0,42995.0,41370.0,0.0,0.157
1,3.0,I-A*,0.0,95451.0,41370.0,0.0,0.157
2,3.0,MM,0.0,3368.0,3230.0,0.0,0.008
3,3.0,I-MM,0.0,4615.0,3230.0,0.0,0.008
4,3.0,MM+IDMM(0.90),0.0,27616.0,17076.0,0.0,1.873
5,3.0,MM+IDMM(0.75),0.0,42616.0,28058.0,0.0,2.058
6,3.0,MM+IDMM(0.50),0.0,62907.0,46426.0,0.0,1.742
7,3.0,MM+IDMM(0.25),0.0,84877.0,57062.0,0.0,1.855
8,3.0,MM+IDMM(0.10),0.0,155298.0,103895.0,0.0,1.001
9,3.0,A*+IDA*(0.90),0.0,129860.0,119544.0,0.0,0.147
10,3.0,A*+IDA*(0.75),0.0,140678.0,126060.0,0.0,0.156
11,3.0,A*+IDA*(0.50),0.0,164976.0,142332.0,0.0,0.175
12,3.0,A*+IDA*(0.25),0.0,211566.0,171831.0,0.0,0.212
13,3.0,A*+IDA*(0.10),0.0,265837.0,203806.0,0.0,0.257
14,3.0,"MBBDS(k=1,ThreePhase=1)(0.90)",0.0,13308.0,9447.0,5.0,0.016
15,3.0,"MBBDS(k=1,ThreePhase=1)(0.75)",0.0,13444.0,10165.0,5.0,0.015
16,3.0,"MBBDS(k=1,ThreePhase=1)(0.50)",0.0,12977.0,10527.0,6.0,0.013
17,3.0,"MBBDS(k=1,ThreePhase=1)(0.25)",0.0,14402.0,12493.0,8.0,0.012
18,3.0,"MBBDS(k=1,ThreePhase=1)(0.10)",0.0,19318.0,17267.0,12.0,0.014
